[1635620400] LOG ROTATION: DAILY
[1635620400] LOG VERSION: 2.0
[1635620400] CURRENT HOST STATE: API-GW Server DR 172.23.20.35;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.92 ms
[1635620400] CURRENT HOST STATE: API-GW Server PROD 172.25.20.35;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 20.08 ms
[1635620400] CURRENT HOST STATE: API-GW-MYSQL DR 172.23.20.65;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.60 ms
[1635620400] CURRENT HOST STATE: API-GW-MYSQL PROD 172.25.20.65;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.58 ms
[1635620400] CURRENT HOST STATE: API-GW-MYSQL UAT 172.21.20.65;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.50 ms
[1635620400] CURRENT HOST STATE: API-Server DR 172.23.20.82;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.64 ms
[1635620400] CURRENT HOST STATE: API-Server PROD 172.25.20.82;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 20.52 ms
[1635620400] CURRENT HOST STATE: BOP Server DR 172.23.20.62;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.68 ms
[1635620400] CURRENT HOST STATE: BOP Server PROD 172.25.20.62;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.65 ms
[1635620400] CURRENT HOST STATE: CDN-Server DR 172.23.20.77;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.71 ms
[1635620400] CURRENT HOST STATE: CDN-Server PROD 172.25.20.77;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.72 ms
[1635620400] CURRENT HOST STATE: CDN-Server UAT Server 172.21.20.52;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.41 ms
[1635620400] CURRENT HOST STATE: DB Server UAT 172.21.20.60;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.60 ms
[1635620400] CURRENT HOST STATE: DNS-Mail Server Prod 172.25.20.55;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.49 ms
[1635620400] CURRENT HOST STATE: ELK Server UAT 172.21.20.80;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.70 ms
[1635620400] CURRENT HOST STATE: EMI-Widget-Server-Prod 172.25.20.71;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.53 ms
[1635620400] CURRENT HOST STATE: Fortinet Firewall-PROD 172.25.20.90;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.09 ms
[1635620400] CURRENT HOST STATE: GIT Server DR 172.23.20.22;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.58 ms
[1635620400] CURRENT HOST STATE: IVR-Server-prod 172.25.20.44;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.46 ms
[1635620400] CURRENT HOST STATE: Jenkins Server DR 172.23.20.21;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.58 ms
[1635620400] CURRENT HOST STATE: MYSQL-DB Server DR 172.23.20.83;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.72 ms
[1635620400] CURRENT HOST STATE: MYSQL-DB Server PROD 172.25.20.83;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 20.10 ms
[1635620400] CURRENT HOST STATE: Middleware Server UAT 172.21.20.70;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 20.78 ms
[1635620400] CURRENT HOST STATE: Mongo-DB Server DR 172.23.20.42;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.67 ms
[1635620400] CURRENT HOST STATE: Mongo-DB Server PROD 172.25.20.42;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.59 ms
[1635620400] CURRENT HOST STATE: Nagios Server DR 172.23.20.50;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.09 ms
[1635620400] CURRENT HOST STATE: PBX-Server-Prod 172.25.20.74;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.64 ms
[1635620400] CURRENT HOST STATE: Payment Switch Server- UAT 172.21.20.85;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 20.55 ms
[1635620400] CURRENT HOST STATE: Payment-Switch-Srv-DR 172.23.20.85;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.82 ms
[1635620400] CURRENT HOST STATE: Payment-Switch-Srv-PROD 172.25.20.85;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.53 ms
[1635620400] CURRENT HOST STATE: TMS System 172.25.20.25;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.51 ms
[1635620400] CURRENT HOST STATE: Web Server UAT 172.21.20.40;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.41 ms
[1635620400] CURRENT HOST STATE: Windows DR 172.23.20.100;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.63 ms
[1635620400] CURRENT HOST STATE: Windows Dev VM UAT 172.21.20.100;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.58 ms
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=0.00% system=0.00%, iowait=0.00%, idle=100.00%, nice=0.00%, steal=0.00%
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Check Traffic;OK;HARD;1;RX Bytes:  3GB, TX Bytes:  3GB: RX Speed:  2Kbps, TX Speed:  2Kbps: OK bandwidth utilization
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;DOCKER CPU and MEM Load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;DOCKER Status;UNKNOWN;HARD;3;UNKNOWN: Cannot access docker socket file. User ID=0, socket file=/var/run/docker.sock
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Disk I/O;OK;HARD;1;DISK IO OK
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD Data Partition;OK;HARD;1;OK: /mnt: total 29.3GB, used 5.0GB (17.1%), free 22.8GB (77.7%)
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 34.3MB (0.5%), free 6.8GB (94.2%)
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 2.1GB (28.6%), free 4.8GB (66.0%)
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 304.4MB (4.1%), free 6.5GB (90.5%)
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 165.5MB (1.5%), free 10.0GB (93.2%)
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD VAR/LOG/AUDIT Partition;OK;HARD;1;OK: /var/log/audit: total 3.6GB, used 53.9MB (1.5%), free 3.4GB (92.9%)
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Important TCP Services Status;CRITICAL;HARD;3;CRITICAL - 1 processes not running:  docker
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.75 ms
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Swap plus RAM;OK;HARD;1;OK MEMORY:::: Total: 3788 MB - Used: 157 MB - 4.16% used --- SWAP:::: Used: 0 MB - 0.00% used  :
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;TCP and UDP Connections;OK;HARD;1;SOCKET USAGE  OK : used 126
[1635620400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Total Processes;OK;HARD;1;PROCS OK: 67 processes with STATE = RSZDT
[1635620400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1635620400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=1.75% system=0.38%, iowait=0.00%, idle=97.88%, nice=0.00%, steal=0.00%
[1635620400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Check Traffic;OK;HARD;1;RX Bytes: 75GB, TX Bytes: 62GB: RX Speed: 14Kbps, TX Speed: 11Kbps: OK bandwidth utilization
[1635620400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1635620400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;DOCKER CPU and MEM Load;OK;HARD;1;OK /usr/bin/docker-proxy CPU: .1% MEM: 1.4% over 3 processes
[1635620400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;DOCKER Status;OK;HARD;1;OK: apigw_app status is running: OK: haproxy status is running: OK: apigw_app2 status is running: OK: apigw_app memory is 1%: OK: apigw_app cpu is 3%: OK: haproxy memory is 0%: OK: haproxy cpu is 0%: OK: apigw_app2 cpu is 0%: OK: apigw_app2 memory is 1%
[1635620400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Disk I/O;OK;HARD;1;DISK IO OK
