[1634756400] LOG ROTATION: DAILY
[1634756400] LOG VERSION: 2.0
[1634756400] CURRENT HOST STATE: API-GW Server DR 172.23.20.35;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.66 ms
[1634756400] CURRENT HOST STATE: API-GW Server PROD 172.25.20.35;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.67 ms
[1634756400] CURRENT HOST STATE: API-GW-MYSQL DR 172.23.20.65;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.63 ms
[1634756400] CURRENT HOST STATE: API-GW-MYSQL PROD 172.25.20.65;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.44 ms
[1634756400] CURRENT HOST STATE: API-GW-MYSQL UAT 172.21.20.65;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.63 ms
[1634756400] CURRENT HOST STATE: API-Server DR 172.23.20.82;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.62 ms
[1634756400] CURRENT HOST STATE: API-Server PROD 172.25.20.82;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.37 ms
[1634756400] CURRENT HOST STATE: BOP Server DR 172.23.20.62;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.84 ms
[1634756400] CURRENT HOST STATE: BOP Server PROD 172.25.20.62;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.82 ms
[1634756400] CURRENT HOST STATE: CDN-Server DR 172.23.20.77;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.98 ms
[1634756400] CURRENT HOST STATE: CDN-Server PROD 172.25.20.77;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.55 ms
[1634756400] CURRENT HOST STATE: CDN-Server UAT Server 172.21.20.52;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.44 ms
[1634756400] CURRENT HOST STATE: DB Server UAT 172.21.20.60;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.50 ms
[1634756400] CURRENT HOST STATE: DNS-Mail Server Prod 172.25.20.55;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.64 ms
[1634756400] CURRENT HOST STATE: ELK Server UAT 172.21.20.80;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.45 ms
[1634756400] CURRENT HOST STATE: EMI-Widget-Server-Prod 172.25.20.71;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.77 ms
[1634756400] CURRENT HOST STATE: Fortinet Firewall-PROD 172.25.20.90;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.10 ms
[1634756400] CURRENT HOST STATE: GIT Server DR 172.23.20.22;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.60 ms
[1634756400] CURRENT HOST STATE: IVR-Server-prod 172.25.20.44;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.79 ms
[1634756400] CURRENT HOST STATE: Jenkins Server DR 172.23.20.21;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.60 ms
[1634756400] CURRENT HOST STATE: MYSQL-DB Server DR 172.23.20.83;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.64 ms
[1634756400] CURRENT HOST STATE: MYSQL-DB Server PROD 172.25.20.83;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.52 ms
[1634756400] CURRENT HOST STATE: Middleware Server UAT 172.21.20.70;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.56 ms
[1634756400] CURRENT HOST STATE: Mongo-DB Server DR 172.23.20.42;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.58 ms
[1634756400] CURRENT HOST STATE: Mongo-DB Server PROD 172.25.20.42;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.54 ms
[1634756400] CURRENT HOST STATE: Nagios Server DR 172.23.20.50;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.11 ms
[1634756400] CURRENT HOST STATE: PBX-Server-Prod 172.25.20.74;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.48 ms
[1634756400] CURRENT HOST STATE: Payment Switch Server- UAT 172.21.20.85;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.33 ms
[1634756400] CURRENT HOST STATE: Payment-Switch-Srv-DR 172.23.20.85;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.64 ms
[1634756400] CURRENT HOST STATE: Payment-Switch-Srv-PROD 172.25.20.85;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.66 ms
[1634756400] CURRENT HOST STATE: TMS System 172.25.20.25;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.83 ms
[1634756400] CURRENT HOST STATE: Web Server UAT 172.21.20.40;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.85 ms
[1634756400] CURRENT HOST STATE: Windows DR 172.23.20.100;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.63 ms
[1634756400] CURRENT HOST STATE: Windows Dev VM UAT 172.21.20.100;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 18.63 ms
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=0.50% system=1.12%, iowait=0.00%, idle=98.38%, nice=0.00%, steal=0.00%
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Check Traffic;OK;HARD;1;RX Bytes:  3GB, TX Bytes:  3GB: RX Speed:  2Kbps, TX Speed:  2Kbps: OK bandwidth utilization
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;DOCKER CPU and MEM Load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;DOCKER Status;UNKNOWN;HARD;3;UNKNOWN: Cannot access docker socket file. User ID=0, socket file=/var/run/docker.sock
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Disk I/O;OK;HARD;1;DISK IO OK
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD Data Partition;OK;HARD;1;OK: /mnt: total 29.3GB, used 5.0GB (17.1%), free 22.8GB (77.7%)
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 34.3MB (0.5%), free 6.8GB (94.2%)
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 2.1GB (28.6%), free 4.8GB (66.0%)
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 304.4MB (4.1%), free 6.5GB (90.5%)
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 158.6MB (1.4%), free 10.0GB (93.3%)
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD VAR/LOG/AUDIT Partition;OK;HARD;1;OK: /var/log/audit: total 3.6GB, used 50.2MB (1.4%), free 3.4GB (93.0%)
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Important TCP Services Status;CRITICAL;HARD;3;CRITICAL - 1 processes not running:  docker
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.55 ms
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Swap plus RAM;OK;HARD;1;OK MEMORY:::: Total: 3788 MB - Used: 158 MB - 4.18% used --- SWAP:::: Used: 0 MB - 0.00% used  :
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;TCP and UDP Connections;OK;HARD;1;SOCKET USAGE  OK : used 126
[1634756400] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Total Processes;OK;HARD;1;PROCS OK: 66 processes with STATE = RSZDT
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=2.62% system=0.62%, iowait=0.00%, idle=96.75%, nice=0.00%, steal=0.00%
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Check Traffic;OK;HARD;1;RX Bytes: 69GB, TX Bytes: 58GB: RX Speed: 22Kbps, TX Speed: 19Kbps: OK bandwidth utilization
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;DOCKER CPU and MEM Load;OK;HARD;1;OK /usr/bin/docker-proxy CPU: .1% MEM: 1.4% over 3 processes
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;DOCKER Status;OK;HARD;1;OK: apigw_app status is running: OK: apigw_app2 status is running: OK: haproxy status is running: OK: apigw_app2 memory is 1%: OK: apigw_app2 cpu is 1%: OK: apigw_app memory is 1%: OK: apigw_app cpu is 1%: OK: haproxy cpu is 0%: OK: haproxy memory is 0%
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Disk I/O;OK;HARD;1;DISK IO OK
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD Data Partition;OK;HARD;1;OK: /mnt: total 29.3GB, used 8.0GB (27.4%), free 19.8GB (67.4%)
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 34.4MB (0.5%), free 6.8GB (94.1%)
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 2.1GB (28.8%), free 4.7GB (65.8%)
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 308.8MB (4.2%), free 6.5GB (90.4%)
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 149.0MB (1.4%), free 10.0GB (93.4%)
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD VAR/LOG/AUDIT Partition;OK;HARD;1;OK: /var/log/audit: total 3.6GB, used 48.1MB (1.3%), free 3.4GB (93.1%)
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Important TCP Services Status;OK;HARD;1;OK - All Services are running! sshd docker crond nrpe
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 18.87 ms
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Swap plus RAM;OK;HARD;1;OK MEMORY:::: Total: 7820 MB - Used: 584 MB - 7.48% used --- SWAP:::: Used: 0 MB - 0.00% used  :
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;TCP and UDP Connections;OK;HARD;1;SOCKET USAGE  OK : used 387
[1634756400] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Total Processes;OK;HARD;1;PROCS OK: 92 processes with STATE = RSZDT
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=0.00% system=0.00%, iowait=0.00%, idle=100.00%, nice=0.00%, steal=0.00%
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Check Traffic;OK;HARD;1;RX Bytes: 21GB, TX Bytes:  5GB: RX Speed: 11Kbps, TX Speed:  5Kbps: OK bandwidth utilization
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Disk I/O;OK;HARD;1;DISK IO OK
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD Data Partition;OK;HARD;1;OK: /mnt/api-gw-logs-prod-data: total 98.3GB, used 32.3GB (32.8%), free 61.0GB (62.0%)
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 33.7MB (0.5%), free 6.8GB (94.2%)
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 4.3GB (59.8%), free 2.5GB (34.8%)
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 691.7MB (9.4%), free 6.1GB (85.2%)
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 90.1MB (0.8%), free 10.0GB (93.9%)
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD VAR/LOG/AUDIT Partition;OK;HARD;1;OK: /var/log/audit: total 3.6GB, used 47.9MB (1.3%), free 3.4GB (93.1%)
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Important TCP Services Status;OK;HARD;1;OK - All Services are running! sshd crond nrpe
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MYSQL CPU and MEM Load;OK;HARD;1;OK /usr/sbin/mysqld CPU: .7% MEM: 80.2% over 1 processes
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MYSQLD Performance;OK;HARD;1;MYSQL 8.0.23 OK
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MySql - Slave IO Running;OK;HARD;1;OK - 172.23.20.65 - Slave_IO_Running Yes
[1634756400] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MySql - Slave SQL Running;OK;HARD;1;OK - 172.23.20.65 - Slave_SQL_Running Yes
